Age,Attrition,Business_Travel,Department,Distance_From_Home,Education,Education_Field,Employee_Number,Environment_Satisfaction,Gender,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager
31,No,Travel Rarely,Research & Development,26,1,Life Sciences,16,1,Male,3,1,Research Scientist,3,Divorced,2911.0,1,No,17,3,4,1,5,1,2,5,2,4,3
34,No,Travel Rarely,Research & Development,19,2,Medical,18,2,Male,3,1,Laboratory Technician,4,Divorced,2661.0,0,No,11,3,3,1,3,2,3,2,2,1,2
28,Yes,Travel Rarely,Research & Development,24,3,Life Sciences,19,3,Male,2,1,Laboratory Technician,3,Single,2028.0,5,Yes,14,3,2,0,6,4,3,4,2,0,3
29,No,Travel Rarely,Research & Development,21,4,Life Sciences,20,2,Female,4,3,Manufacturing Director,1,Divorced,9980.0,1,No,11,3,3,1,10,2,3,10,9,8,8
32,No,Travel Rarely,Research & Development,5,2,Life Sciences,21,1,Male,4,1,Research Scientist,2,Divorced,3298.0,0,Yes,12,3,4,2,7,5,2,6,2,0,5
22,No,Non-Travel,Research & Development,16,2,Medical,22,4,Male,4,1,Laboratory Technician,4,Divorced,2935.0,1,Yes,13,3,2,2,1,2,2,1,0,0,0
53,No,Travel Rarely,Sales,2,4,Life Sciences,23,1,Female,2,4,Sales Manager,4,Married,15427.0,2,No,16,3,3,0,31,3,3,25,8,3,7
38,No,Travel Rarely,Research & Development,2,3,Life Sciences,24,4,Male,3,1,Research Scientist,4,Single,3944.0,5,Yes,11,3,3,0,6,3,3,3,2,1,2
24,No,Non-Travel,Research & Development,11,2,Other,26,1,Female,4,2,Manufacturing Director,3,Divorced,4011.0,0,No,18,3,4,1,5,5,2,4,2,1,3
36,Yes,Travel Rarely,Sales,9,4,Life Sciences,27,3,Male,2,1,Sales Representative,1,Single,3407.0,7,No,23,4,2,0,10,2,3,5,3,0,3
34,No,Travel Rarely,Research & Development,7,4,Life Sciences,28,1,Female,3,3,Research Director,2,Single,11994.0,0,No,11,3,3,0,13,4,3,12,6,2,11
21,No,Travel Rarely,Research & Development,15,2,Life Sciences,30,3,Male,3,1,Research Scientist,4,Single,1232.0,1,No,14,3,4,0,0,6,3,0,0,0,0
34,Yes,Travel Rarely,Research & Development,6,1,Medical,31,2,Male,3,1,Research Scientist,1,Single,2960.0,2,No,11,3,3,0,8,2,3,4,2,1,3
53,No,Travel Rarely,Research & Development,5,3,Life Sciences,32,3,Female,3,5,Research & Development Manager,3,Divorced,19094.0,4,No,11,3,4,1,26,3,2,14,13,4,8
32,Yes,Travel Frequently,Research & Development,16,1,Life Sciences,33,2,Female,1,1,Research Scientist,1,Single,3919.0,1,Yes,22,4,2,0,10,5,3,10,2,6,7
42,No,Travel Rarely,Sales,8,4,Marketing,35,3,Male,3,2,Sales Executive,2,Married,6825.0,0,No,11,3,4,1,10,2,3,9,7,4,2
44,No,Travel Rarely,Research & Development,7,4,Medical,36,1,Female,2,3,Healthcare Representative,4,Married,10248.0,3,No,14,3,4,1,24,4,3,22,6,5,17
46,No,Travel Rarely,Sales,2,4,Marketing,38,2,Female,3,5,Sales Manager,1,Single,18947.0,3,No,12,3,4,0,22,2,2,2,2,2,7
33,No,Travel Rarely,Research & Development,2,3,Medical,39,3,Male,3,1,Laboratory Technician,4,Single,2496.0,4,No,11,3,4,0,7,3,3,1,1,0,0
44,No,Travel Rarely,Research & Development,10,4,Other,40,4,Male,3,2,Healthcare Representative,4,Married,6465.0,2,Yes,13,3,4,0,9,5,4,4,2,1,3
30,No,Travel Rarely,Research & Development,9,2,Medical,41,4,Male,2,1,Laboratory Technician,3,Single,2206.0,1,No,13,3,1,0,10,5,3,10,0,1,8
39,Yes,Travel Rarely,Sales,5,3,Technical Degree,42,4,Male,3,2,Sales Representative,4,Married,2086.0,3,No,14,3,3,1,19,6,4,1,0,0,3
24,Yes,Travel Rarely,Research & Development,1,3,Medical,45,2,Male,3,1,Research Scientist,4,Married,2293.0,2,Yes,16,3,1,1,6,2,2,2,0,2,0
43,No,Travel Rarely,Research & Development,2,2,Life Sciences,46,4,Female,4,1,Research Scientist,3,Divorced,2645.0,1,No,12,3,4,2,6,3,2,5,3,1,4
50,Yes,Travel Rarely,Sales,3,2,Marketing,47,1,Male,2,1,Sales Representative,3,Married,2683.0,1,Yes,14,3,3,0,3,2,3,3,2,0,2
35,No,Travel Rarely,Sales,2,3,Marketing,49,4,Female,3,1,Sales Representative,4,Married,2014.0,1,No,13,3,1,0,2,3,3,2,2,2,2
36,No,Travel Rarely,Research & Development,5,4,Life Sciences,51,2,Female,2,1,Research Scientist,1,Married,3419.0,9,Yes,14,3,4,1,6,3,4,1,1,0,0
33,No,Travel Frequently,Sales,1,3,Life Sciences,52,3,Female,4,2,Sales Executive,1,Married,5376.0,2,No,19,3,1,2,10,3,3,5,3,1,3
35,No,Travel Rarely,Research & Development,4,2,Other,53,3,Male,3,1,Laboratory Technician,4,Divorced,1951.0,1,No,12,3,3,1,1,3,3,1,0,0,0
27,No,Travel Rarely,Research & Development,2,4,Life Sciences,54,4,Female,3,1,Laboratory Technician,1,Divorced,2341.0,1,No,13,3,4,1,1,6,3,1,0,0,0
26,Yes,Travel Rarely,Research & Development,25,3,Life Sciences,55,1,Male,1,1,Laboratory Technician,3,Single,2293.0,1,No,12,3,3,0,1,2,2,1,0,0,1
27,No,Travel Frequently,Sales,8,3,Life Sciences,56,4,Male,3,3,Sales Executive,3,Single,8726.0,1,No,15,3,4,0,9,0,3,9,8,1,7
30,No,Travel Frequently,Research & Development,1,2,Medical,57,3,Female,3,2,Laboratory Technician,4,Single,4011.0,1,No,23,4,4,0,12,2,3,12,8,3,7
41,Yes,Travel Rarely,Research & Development,12,3,Technical Degree,58,2,Female,3,5,Research Director,3,Married,19545.0,1,No,12,3,4,0,23,0,3,22,15,15,8
34,No,Non-Travel,Sales,23,4,Life Sciences,60,2,Male,3,2,Sales Executive,3,Single,4568.0,0,No,20,4,3,0,10,2,3,9,5,8,7
37,No,Travel Rarely,Research & Development,19,2,Life Sciences,61,2,Male,3,1,Research Scientist,2,Married,3022.0,4,No,21,4,1,0,8,1,3,1,0,0,0
46,No,Travel Frequently,Sales,5,4,Marketing,62,1,Male,3,2,Sales Executive,4,Married,5772.0,4,Yes,21,4,3,0,14,4,3,9,6,0,8
35,No,Travel Rarely,Research & Development,8,1,Life Sciences,63,4,Male,4,1,Laboratory Technician,4,Married,2269.0,1,No,19,3,4,0,1,2,3,1,0,0,1
48,Yes,Travel Rarely,Research & Development,1,2,Life Sciences,64,1,Male,2,3,Laboratory Technician,3,Single,5381.0,9,Yes,13,3,4,0,23,2,3,1,0,0,0
28,Yes,Travel Rarely,Research & Development,5,4,Technical Degree,65,3,Male,3,1,Laboratory Technician,3,Single,3441.0,1,Yes,13,3,3,0,2,3,2,2,2,2,2
44,No,Travel Rarely,Sales,1,5,Marketing,68,2,Female,3,2,Sales Executive,1,Divorced,5454.0,5,Yes,21,4,3,1,9,2,2,4,3,1,3
35,No,Non-Travel,Research & Development,11,2,Medical,70,3,Male,2,3,Healthcare Representative,1,Married,9884.0,2,Yes,13,3,3,1,10,3,3,4,0,2,3
26,No,Travel Rarely,Sales,23,3,Marketing,72,3,Female,2,2,Sales Executive,4,Married,4157.0,7,Yes,19,3,3,1,5,2,2,2,2,0,0
33,No,Travel Frequently,Research & Development,1,2,Life Sciences,73,1,Female,3,3,Research Director,4,Single,13458.0,1,Yes,12,3,3,0,15,1,3,15,14,8,12
35,No,Travel Frequently,Sales,18,5,Life Sciences,74,2,Male,3,3,Sales Executive,1,Married,9069.0,1,No,22,4,4,1,9,3,2,9,8,1,8
35,No,Travel Rarely,Research & Development,23,4,Medical,75,3,Female,3,1,Laboratory Technician,1,Married,4014.0,3,Yes,15,3,3,1,4,3,3,2,2,2,2
31,No,Travel Rarely,Research & Development,7,4,Life Sciences,76,4,Male,3,2,Laboratory Technician,4,Divorced,5915.0,3,No,22,4,4,1,10,3,2,7,7,1,7
37,No,Travel Rarely,Research & Development,1,4,Life Sciences,77,1,Male,2,2,Manufacturing Director,3,Divorced,5993.0,1,No,18,3,3,1,7,2,4,7,5,0,7
32,No,Travel Rarely,Research & Development,1,3,Medical,78,1,Male,3,2,Manufacturing Director,4,Married,6162.0,1,Unknown,22,4,2,1,9,3,3,9,8,7,8
38,No,Travel Frequently,Research & Development,29,5,Life Sciences,79,4,Female,3,2,Laboratory Technician,4,Single,2406.0,1,No,11,3,4,0,10,2,3,10,3,9,9
50,No,Travel Rarely,Research & Development,7,2,Medical,80,2,Female,2,5,Research Director,3,Divorced,18740.0,5,Yes,12,3,4,1,29,2,2,27,3,13,8
38,No,Travel Rarely,Sales,25,3,Life Sciences,81,1,Female,3,3,Sales Executive,4,Single,7637.0,7,No,11,3,4,0,28,3,2,21,16,7,9
36,No,Travel Rarely,Research & Development,8,3,Technical Degree,83,3,Female,3,3,Healthcare Representative,3,Divorced,10096.0,1,No,13,3,2,3,17,2,3,17,14,12,8
55,No,Travel Rarely,Research & Development,8,3,Life Sciences,84,4,Female,3,4,Research & Development Manager,3,Divorced,14756.0,2,Yes,14,3,3,3,21,2,3,5,0,0,2
36,No,Travel Frequently,Research & Development,11,3,Life Sciences,85,2,Male,2,2,Manufacturing Director,2,Single,6499.0,1,No,13,3,3,0,6,3,3,6,5,0,3
45,No,Travel Rarely,Research & Development,7,3,Life Sciences,86,2,Male,3,3,Research Scientist,1,Divorced,9724.0,2,No,17,3,3,1,25,2,3,1,0,0,0
35,No,Travel Frequently,Research & Development,1,3,Medical,88,2,Male,3,1,Research Scientist,1,Married,2194.0,4,No,13,3,4,1,5,2,2,3,2,1,2
36,Yes,Travel Rarely,Research & Development,9,3,Medical,90,4,Male,2,1,Research Scientist,3,Married,3388.0,0,Yes,17,3,1,1,2,0,2,1,0,0,2
59,No,Travel Frequently,Sales,1,1,Life Sciences,91,1,Female,2,2,Sales Executive,3,Single,5473.0,7,No,11,3,4,0,20,2,2,4,3,1,3
29,No,Travel Rarely,Research & Development,2,3,Life Sciences,94,3,Male,3,1,Research Scientist,2,Married,2703.0,0,No,23,4,4,1,6,3,3,5,4,0,4
31,No,Travel Rarely,Research & Development,1,4,Medical,95,3,Male,3,1,Research Scientist,4,Single,2501.0,1,No,17,3,2,0,1,4,3,1,1,1,0
32,No,Travel Rarely,Research & Development,1,3,Life Sciences,96,2,Male,3,2,Research Scientist,2,Married,6220.0,1,No,17,3,2,2,10,3,3,10,4,0,9
36,No,Travel Rarely,Research & Development,6,3,Life Sciences,97,2,Female,4,1,Laboratory Technician,4,Married,3038.0,3,No,12,3,2,0,5,3,3,1,0,0,0
31,No,Travel Rarely,Research & Development,8,4,Life Sciences,98,3,Female,3,2,Manufacturing Director,4,Single,4424.0,1,No,23,4,4,0,11,2,3,11,7,1,8
35,No,Travel Rarely,Sales,1,4,Marketing,100,3,Male,2,2,Sales Executive,1,Single,4312.0,0,No,14,3,2,0,16,2,3,15,13,2,8
45,No,Travel Rarely,Research & Development,6,4,Other,101,4,Male,3,3,Research Director,1,Married,13245.0,4,Unknown,14,3,2,0,17,3,4,0,0,0,0
37,No,Travel Rarely,Research & Development,7,4,Medical,102,1,Male,3,3,Research Director,3,Single,13664.0,4,No,13,3,1,0,16,3,4,5,2,0,7
46,No,Travel Rarely,Human Resources,5,2,Medical,103,2,Male,3,2,Human Resources,2,Divorced,5021.0,8,Yes,22,4,4,1,16,2,3,4,2,0,2
30,No,Travel Rarely,Research & Development,1,1,Life Sciences,104,4,Male,2,2,Laboratory Technician,4,Married,5126.0,1,Yes,12,3,3,2,10,1,2,10,8,3,0
35,No,Travel Rarely,Research & Development,1,3,Medical,105,2,Male,2,1,Research Scientist,3,Single,2859.0,1,No,18,3,1,0,6,3,3,6,4,0,4
55,No,Travel Rarely,Sales,1,2,Life Sciences,106,1,Male,3,3,Sales Executive,4,Married,10239.0,3,No,14,3,4,1,24,4,3,1,0,1,0
38,No,Non-Travel,Research & Development,6,3,Medical,107,2,Female,1,2,Research Scientist,4,Divorced,5329.0,7,Yes,12,3,4,3,17,3,3,13,11,1,9
34,No,Travel Rarely,Research & Development,1,2,Medical,110,1,Male,3,2,Manufacturing Director,2,Married,4325.0,1,No,15,3,3,0,5,2,3,5,2,1,3
56,No,Travel Rarely,Research & Development,7,3,Life Sciences,112,4,Male,1,3,Manufacturing Director,4,Single,7260.0,4,No,11,3,1,0,37,3,2,6,4,0,2
23,No,Travel Rarely,Sales,2,1,Technical Degree,113,3,Male,3,1,Sales Representative,1,Divorced,2322.0,3,No,13,3,3,1,3,3,3,0,0,0,0
51,No,Travel Rarely,Research & Development,9,4,Life Sciences,116,4,Male,3,1,Laboratory Technician,4,Married,2075.0,3,No,23,4,2,2,10,4,3,4,2,0,3
30,No,Travel Rarely,Research & Development,2,3,Life Sciences,117,3,Male,2,2,Healthcare Representative,4,Married,4152.0,1,No,19,3,1,3,11,3,3,11,10,10,8
46,Yes,Travel Rarely,Sales,9,2,Medical,118,3,Male,2,3,Sales Executive,4,Single,9619.0,1,No,16,3,4,0,9,3,3,9,8,4,7
40,No,Travel Frequently,Research & Development,1,4,Life Sciences,119,3,Male,2,4,Healthcare Representative,2,Married,13503.0,1,No,22,4,4,1,22,3,2,22,3,11,11
36,No,Travel Rarely,Sales,21,4,Marketing,120,3,Male,3,2,Sales Executive,4,Single,5441.0,0,Yes,22,4,4,0,11,2,1,10,7,1,0
30,No,Travel Rarely,Sales,4,2,Medical,121,3,Female,2,2,Sales Executive,2,Divorced,5209.0,1,Yes,12,3,2,3,11,4,2,11,8,2,7
46,No,Travel Frequently,Research & Development,1,3,Medical,124,3,Male,2,3,Healthcare Representative,1,Married,10673.0,2,Yes,13,3,3,1,21,5,2,10,9,9,5
32,No,Travel Rarely,Sales,6,4,Medical,125,2,Male,3,2,Sales Executive,3,Single,5010.0,1,No,16,3,1,0,12,0,3,11,8,5,7
54,No,Travel Rarely,Research & Development,2,4,Technical Degree,126,1,Female,3,3,Research Director,3,Married,13549.0,9,No,12,3,1,1,16,2,1,4,3,0,3
24,No,Travel Rarely,Sales,3,2,Other,128,1,Female,3,2,Sales Executive,3,Married,4999.0,0,No,21,4,1,1,4,2,2,3,2,0,2
36,No,Non-Travel,Sales,4,3,Medical,129,2,Male,3,2,Sales Executive,3,Married,4221.0,1,No,15,3,2,0,5,3,4,5,4,0,4
58,No,Travel Rarely,Sales,10,4,Life Sciences,131,4,Male,3,4,Sales Executive,3,Single,13872.0,0,No,13,3,3,0,38,1,2,37,10,1,8
44,No,Non-Travel,Research & Development,23,3,Medical,132,2,Male,3,2,Laboratory Technician,2,Married,2042.0,4,No,12,3,3,1,17,3,4,3,2,1,2
37,Yes,Travel Rarely,Human Resources,6,4,Human Resources,133,3,Male,3,1,Human Resources,1,Married,2073.0,4,Unknown,22,4,4,0,7,3,3,3,2,0,2
32,No,Travel Rarely,Research & Development,1,1,Life Sciences,134,4,Male,3,1,Research Scientist,1,Single,2956.0,1,No,13,3,4,0,1,2,3,1,0,0,0
20,Yes,Travel Frequently,Research & Development,6,3,Life Sciences,137,4,Female,2,1,Laboratory Technician,4,Single,2926.0,1,Yes,18,3,2,0,1,2,3,1,0,1,2
34,No,Travel Rarely,Research & Development,6,4,Other,138,1,Female,3,2,Research Scientist,3,Single,4809.0,1,No,14,3,3,0,16,3,3,16,13,2,10
37,No,Non-Travel,Research & Development,2,2,Life Sciences,139,3,Male,2,2,Healthcare Representative,4,Divorced,5163.0,5,No,14,3,4,1,17,2,4,1,0,0,3
59,No,Non-Travel,Human Resources,2,4,Human Resources,140,3,Female,2,5,Human Resources Manager,4,Married,18844.0,9,No,21,4,4,1,30,3,3,3,2,2,2
50,No,Travel Frequently,Research & Development,1,3,Life Sciences,141,1,Female,3,5,Research Director,2,Married,18172.0,3,Yes,19,3,1,0,28,1,2,8,3,0,7
25,Yes,Travel Rarely,Sales,5,3,Marketing,142,3,Male,2,2,Sales Executive,3,Single,5744.0,1,Yes,11,3,4,0,6,1,3,6,4,0,3
25,No,Travel Rarely,Research & Development,7,1,Medical,143,4,Male,2,1,Research Scientist,4,Married,2889.0,1,No,11,3,3,2,2,2,3,2,2,2,1
22,No,Travel Rarely,Research & Development,15,3,Medical,144,2,Female,3,1,Laboratory Technician,4,Single,2871.0,1,No,15,3,3,0,1,5,3,0,0,0,0
51,No,Travel Frequently,Research & Development,1,4,Medical,145,1,Female,2,3,Healthcare Representative,1,Single,7484.0,3,No,20,4,3,0,23,2,2,13,12,12,8
36,Yes,Travel Frequently,Research & Development,7,3,Life Sciences,147,1,Male,1,2,Laboratory Technician,3,Single,6074.0,1,Yes,24,4,4,0,9,2,3,9,7,0,6
54,No,Travel Rarely,Human Resources,26,3,Human Resources,148,4,Female,4,4,Human Resources Manager,4,Single,17328.0,2,Yes,12,3,3,0,23,3,3,5,3,4,4
24,No,Travel Rarely,Research & Development,18,1,Life Sciences,150,2,Male,3,1,Laboratory Technician,3,Married,2774.0,0,No,12,3,3,1,6,2,3,5,3,1,2
34,No,Travel Rarely,Research & Development,6,4,Life Sciences,151,3,Female,2,2,Research Scientist,2,Divorced,4505.0,6,No,15,3,3,1,12,3,3,1,0,0,0
37,No,Travel Rarely,Sales,3,3,Life Sciences,152,3,Male,3,3,Sales Executive,4,Single,7428.0,2,No,12,3,1,0,12,3,3,5,3,1,3
34,No,Travel Rarely,Research & Development,5,3,Medical,153,3,Female,2,3,Research & Development Manager,1,Single,11631.0,2,No,12,3,4,0,14,6,3,11,10,5,8
36,No,Travel Frequently,Sales,11,2,Technical Degree,154,2,Female,3,3,Sales Executive,4,Married,9738.0,0,No,14,3,3,1,10,6,3,9,7,2,8
36,No,Travel Rarely,Research & Development,3,2,Life Sciences,155,1,Female,3,1,Laboratory Technician,4,Divorced,2835.0,5,No,22,4,1,1,7,2,3,1,0,0,0
43,No,Travel Frequently,Sales,26,2,Life Sciences,158,3,Male,3,4,Sales Manager,4,Married,16959.0,1,Yes,12,3,4,2,25,3,4,25,12,4,12
31,No,Travel Frequently,Research & Development,23,3,Life Sciences,159,1,Male,1,1,Research Scientist,3,Divorced,2613.0,1,No,25,4,3,3,10,2,2,10,7,0,2
33,No,Non-Travel,Sales,22,2,Marketing,160,3,Male,3,2,Sales Executive,2,Married,6146.0,0,No,13,3,1,1,8,2,4,7,7,0,7
56,Yes,Travel Rarely,Research & Development,14,4,Life Sciences,161,2,Female,3,1,Research Scientist,2,Married,4963.0,9,Yes,18,3,1,3,7,2,3,5,4,4,3
51,No,Travel Rarely,Research & Development,6,3,Life Sciences,162,1,Male,3,5,Research Director,3,Single,19537.0,7,No,13,3,3,0,23,5,3,20,18,15,15
36,Yes,Travel Rarely,Sales,6,4,Life Sciences,163,2,Male,1,2,Sales Executive,3,Married,6172.0,4,Yes,18,3,2,0,12,3,2,7,7,7,7
26,No,Travel Rarely,Research & Development,6,3,Other,164,3,Female,2,1,Research Scientist,2,Married,2368.0,1,No,19,3,3,0,5,3,2,5,4,4,3
58,Yes,Travel Rarely,Research & Development,23,4,Medical,165,4,Female,3,3,Healthcare Representative,4,Married,6811.0,1,No,12,3,4,1,40,3,2,40,10,15,6
19,Yes,Travel Rarely,Sales,22,1,Marketing,167,4,Male,3,1,Sales Representative,3,Married,1675.0,1,Yes,19,3,4,0,0,2,2,0,0,0,0
22,No,Travel Rarely,Research & Development,2,1,Technical Degree,169,3,Male,3,1,Laboratory Technician,4,Married,2523.0,0,No,14,3,3,1,3,2,3,2,1,2,1
49,No,Travel Rarely,Research & Development,20,4,Medical,170,3,Female,3,2,Manufacturing Director,1,Married,6567.0,1,No,14,3,3,0,16,2,2,15,11,5,11
43,No,Travel Frequently,Research & Development,28,3,Medical,171,2,Female,4,1,Research Scientist,3,Single,4739.0,4,No,12,3,4,0,18,2,3,3,2,1,2
38,No,Travel Frequently,Sales,12,3,Marketing,174,3,Female,3,3,Sales Executive,4,Single,9208.0,4,Unknown,11,3,4,0,16,3,3,2,2,2,1
36,Yes,Travel Rarely,Sales,20,3,Life Sciences,175,2,Female,1,2,Sales Executive,3,Married,4559.0,3,Yes,11,3,3,1,4,2,3,2,2,2,2
41,No,Travel Rarely,Sales,9,1,Life Sciences,176,3,Male,3,3,Sales Executive,3,Married,8189.0,3,Yes,13,3,3,1,12,2,3,9,7,0,7
26,No,Travel Rarely,Human Resources,25,1,Life Sciences,177,3,Female,3,1,Human Resources,3,Married,2942.0,1,No,23,4,4,1,8,3,3,8,7,5,7
36,No,Travel Rarely,Research & Development,6,2,Medical,178,2,Male,3,2,Manufacturing Director,2,Divorced,4941.0,6,No,20,4,4,2,7,0,3,3,2,0,1
51,Yes,Travel Frequently,Research & Development,8,4,Life Sciences,179,1,Male,1,3,Manufacturing Director,4,Married,10650.0,2,No,15,3,4,0,18,2,3,4,2,0,3
39,No,Travel Rarely,Sales,4,4,Life Sciences,182,4,Female,2,2,Sales Executive,3,Married,5902.0,4,No,14,3,3,1,17,1,4,15,11,5,9
25,No,Travel Rarely,Sales,28,3,Life Sciences,183,1,Male,2,2,Sales Executive,3,Married,8639.0,2,No,18,3,4,0,6,3,3,2,2,2,2
30,No,Travel Rarely,Human Resources,9,3,Human Resources,184,3,Male,3,2,Human Resources,4,Married,6347.0,0,Yes,19,3,4,0,12,2,1,11,9,4,3
32,Yes,Travel Rarely,Research & Development,9,3,Medical,190,1,Female,3,1,Laboratory Technician,1,Single,4200.0,7,No,22,4,1,0,10,2,4,5,4,0,4
45,No,Travel Rarely,Research & Development,29,3,Medical,192,3,Male,3,1,Research Scientist,4,Single,3452.0,5,No,13,3,2,0,9,2,2,6,5,0,3
38,No,Travel Rarely,Research & Development,3,5,Technical Degree,193,4,Female,3,2,Research Scientist,3,Single,4317.0,3,Yes,20,4,2,0,19,2,3,3,2,2,2
30,No,Travel Rarely,Research & Development,18,3,Life Sciences,194,1,Female,3,1,Research Scientist,3,Single,2632.0,1,No,14,3,3,0,5,4,2,5,4,0,4
32,No,Travel Frequently,Sales,9,2,Medical,195,4,Male,1,2,Sales Executive,4,Divorced,4668.0,0,No,17,3,4,3,9,2,4,8,7,0,7
30,No,Travel Rarely,Research & Development,5,3,Technical Degree,197,4,Female,3,1,Research Scientist,1,Divorced,3204.0,5,No,14,3,4,1,8,3,3,3,2,2,2
30,No,Travel Rarely,Research & Development,2,1,Medical,198,2,Male,2,1,Laboratory Technician,4,Single,2720.0,0,No,13,3,4,0,6,3,3,5,3,1,2
41,No,Travel Frequently,Research & Development,10,3,Life Sciences,199,4,Male,2,4,Research & Development Manager,1,Divorced,17181.0,4,No,13,3,2,1,21,2,2,7,6,7,7
41,No,Travel Rarely,Research & Development,9,4,Life Sciences,200,3,Male,3,1,Laboratory Technician,1,Married,2238.0,2,No,21,4,4,1,7,2,3,5,0,1,2
19,No,Travel Rarely,Research & Development,3,1,Medical,201,2,Female,3,1,Laboratory Technician,2,Single,1483.0,1,No,14,3,4,0,1,3,3,1,0,0,2
40,No,Travel Frequently,Research & Development,26,3,Medical,202,2,Female,3,2,Research Scientist,2,Divorced,5605.0,1,No,11,3,1,1,20,2,3,20,7,2,13
35,No,Travel Rarely,Sales,1,5,Marketing,204,3,Male,3,3,Sales Executive,2,Married,7295.0,1,No,13,3,1,2,10,3,3,10,8,0,6
53,No,Travel Rarely,Sales,6,2,Marketing,205,2,Male,3,2,Sales Representative,3,Married,2306.0,2,Yes,20,4,4,1,13,3,1,7,7,4,5
45,No,Travel Rarely,Research & Development,9,3,Life Sciences,206,2,Male,3,2,Laboratory Technician,2,Divorced,2348.0,8,No,18,3,3,1,20,2,1,17,9,0,15
32,No,Travel Frequently,Sales,8,3,Marketing,207,2,Female,3,3,Sales Executive,4,Single,8998.0,1,No,14,3,4,0,9,2,3,9,8,3,7
29,No,Non-Travel,Research & Development,1,1,Technical Degree,208,4,Male,3,2,Manufacturing Director,3,Married,4319.0,1,No,13,3,1,1,10,1,3,10,7,0,9
51,No,Travel Rarely,Research & Development,7,4,Medical,211,2,Male,2,2,Manufacturing Director,3,Married,6132.0,2,No,17,3,3,0,10,2,3,1,0,0,3
58,No,Travel Rarely,Research & Development,9,3,Medical,214,2,Female,2,1,Research Scientist,2,Married,3346.0,4,Yes,20,4,2,1,9,3,2,1,0,0,2
40,No,Travel Rarely,Sales,4,4,Marketing,215,3,Male,2,3,Sales Executive,4,Married,10855.0,7,No,11,3,1,1,15,2,2,12,11,2,11
34,No,Travel Frequently,Sales,2,4,Marketing,216,3,Female,3,1,Sales Representative,3,Married,2231.0,6,No,18,3,4,1,6,3,3,4,3,1,2
22,No,Travel Rarely,Research & Development,19,1,Medical,217,3,Male,3,1,Research Scientist,4,Married,2323.0,1,No,24,4,1,2,2,6,3,2,2,2,2
27,No,Non-Travel,Research & Development,9,3,Medical,218,4,Male,3,1,Research Scientist,2,Divorced,2024.0,6,No,18,3,4,1,6,1,1,2,2,2,2
